C. Leclerc,Ferrari,2:02:53.938,15
C. Sainz,Ferrari,2:02:57.968,12
M. Verstappen,Red Bull Racing,2:02:30.814,25
D. Ricciardo,VISA Cashapp RB,2:03:12.384,6
S. Pérez,Red Bull Racing,0,0
L. Hamilton,Mercedes,2:02'44.689,19
O. Piastri,McLaren F1,2:03:13.918,4
G. Russell,Mercedes,2:03:11.834,8
V. Bottas,Alfa Romeo,2:03:56.411,0
G. Zhou,Alfa Romeo,2:03:52.490,1
P. Gasly,Alpine,2:03:37.022,1
N. Hulkenberg,Haas F1 Team,2:03:51.123,1
F. Alonso,Aston Martin Racing,0,0
A. Albon,Williams,2:03:19.387,2
E. Ocon,Alpine,2:03:33.693,1
K. Magnussen,Haas F1 Team,0,0
L. Norris,McLaren F1,2:03:04.080,10
Y. Tsunoda,VISA Cashapp RB,2:03:49.796,1
L. Sargeant,Williams,0,0
L. Stroll,Aston Martin Racing,0,0
