S. Pérez,Red Bull Racing,1:27:43.625,18
F. Alonso,Aston Martin Racing,1:28:04.546,15
C. Sainz,Ferrari,1:28:20.752,10
K. Magnussen,Haas,1:28:41.186,1
P. Gasly,AlphaTauri,1:28:33.911,4
G. Russell,Mercedes,1:28:11.470,12
C. Leclerc,Ferrari,1:28:31.229,6
E. Ocon,Alpine,1:28:36.364,2
M. Verstappen,Red Bull Racing,1:27:38.241,26
V. Bottas,Alfa Romeo,1:28:49.878,0
A. Albon,Williams,1:28:51.102,0
N. Hulkenberg,Haas,1:28:53.191,0
L. Hamilton,Mercedes,1:28:29.490,8
G. Zhou,Alfa Romeo,1:28:56.681,0
N. de Vries,Red Bull,1:29:07.190,0
L. Norris,McLaren,1:29:05.958,0
Y. Tsunoda,AlphaTauri,1:28:42.550,0
L. Stroll,Aston Martin Racing,1:28:42.995,0
O. Piastri,McLaren,1:29:15.190,0
L. Sargeant,Williams,1:29:19.629,0
