C. Leclerc,Ferrari,1:29:10.359,18
M. Verstappen,Red Bull,1:29:08.289,25
G. Russell,Williams,1:29:31.380,4
P. Gasly,Alpine,1:29:42.559,1
A. Albon,Williams,1:29:51.687,1
L. Sargeant,Williams,1:29:59.171,0
V. Bottas,Alfa Romeo,1:30:33.639,0
K. Magnussen,Haas,1:29:55.114,0
F. Alonso,Aston Martin,1:29:34.253,2
L. Hamilton,Mercedes,1:29:30.044,6
S. Pérez,Red Bull,1:29:10.530,15
C. Sainz,Ferrari,1:29:29.123,8
N. Hulkenberg,Haas,0,0
D. Ricciardo,McLaren,1:29:56.814,0
L. Norris,McLaren, 0, 0
E. Ocon,Alpine,1:29:26.954,12
G. Zhou,Alfa Romeo,1:29:58.451,0
O. Piastri,McLaren,1:29:37.785,2
L. Stroll,Aston Martin,1:29:28.356,10
Y. Tsunoda,AlphaTauri,0,0
